title,harga,alamat,parkir motor,kamar tidur,kamar mandi,jmlh lantai,luas bangunan,luas tanah
dijual rumah indent lantai 2 lolasi batubulan ( jl pasekan),875000000.0,"BATUBULAN, GIANYAR",8.0,3.0,2.0,2.0,120.0,100.0
rumah baru siap huni lantai 1 di area batubulan gianyar bali,460000000.0,"SUKAWATI, GIANYAR",4.0,2.0,1.0,1.0,42.0,65.0
"dijual cepat rumah di ketewel, sukawati",1050000000.0,"KETEWEL, SUKAWATI, GIANYAR, BALI SUKAWATI, GIANYAR",10.0,3.0,2.0,1.0,70.0,100.0
rumah siap huni view sungai,495000000.0,"BLAHBATUH, GIANYAR",20.0,3.0,1.0,1.0,65.0,127.0
rumah dijual murah di gianyar bali harga 300jtan,375000000.0,"BANJAR TOJAN DESA PERING BELAH BATU GIANYAR BALI BLAHBATUH, GIANYAR",20.0,2.0,1.0,1.0,42.0,99.0
dijual rumah dikawasan batubulan,700000000.0,"BATUBULAN, GIANYAR",6.0,3.0,2.0,2.0,200.0,100.0
rumah baru siap huni 2 lantai di kawasan batuyang gianyar,850000000.0,"BATUBULAN KANGIN, GIANYAR",4.0,4.0,3.0,2.0,120.0,72.0
rumah ready siap huni celuk gianyar bali,650000000.0,"CELUK, GIANYAR",10.0,3.0,1.0,1.0,60.0,80.0
v6.100 rumah dijual di selatan ubud,600000000.0,"JALAN RAYA UBUD NO.1 UBUD, GIANYAR",4.0,2.0,1.0,1.0,42.0,75.0
dijual rumah siap huni murah di blahbatuh bali,575000000.0,"BLAHBATUH, GIANYAR",20.0,2.0,2.0,1.0,55.0,115.0
rumah minimalis di gianyar ubud,590000000.0,"UBUD, GIANYAR",10.0,2.0,1.0,1.0,60.0,90.0
murah dijual rumah 2 lantai luas 100 m2 di singapadu gianyar,650000000.0,"GIANYAR, GIANYAR",4.0,3.0,2.0,2.0,150.0,100.0
rumah murah lokasi batuyang batubulan gianyar bali,450000000.0,"SUKAWATI, GIANYAR",10.0,2.0,1.0,1.0,50.0,70.0
dijual murah rumah minimalis style villa di kawasan perumahan yang asr,1300000000.0,"KETEWEL, GIANYAR",4.0,4.0,4.0,2.0,200.0,240.0
rumah minimalis 3 kamar struktur siap naik lantai,595000000.0,"GIANYAR, GIANYAR",4.0,3.0,1.0,3.0,60.0,100.0
dijual rumah villa 2 lantai di sebatu gianyar bali harga murah,3000000000.0,"JALAN RAYA TEGALLALANG, GIANYAR, INDONESIA TEGALLALANG, GIANYAR",8.0,3.0,3.0,2.0,136.0,150.0
rumah di saba blahbatuh gianyar dekat fas. umum,2300000000.0,"BLAHBATUH, GIANYAR",10.0,4.0,3.0,1.0,350.0,370.0
